,Events,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,Category
3259,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'forward to the competent authority',b'start WABOprocedure',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'procedure change',b'phase advice known',b'phase application receptive',b'set decision status',b'creating environmental permit decision',b'submit decision',b'phase decision ready',b'generating decision environmental permit',b'record date of decision environmental permit',b'set decision phase decision permitting decided',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision',b'transcript decision environmental permit to stakeholders',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'phase decision taken',b'phase decision sent',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3262,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'forward to the competent authority',b'start WABOprocedure',b'create subcases completeness',b'procedure change',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'publish',b'retrieve missing data',b'phase asked additional information',b'enter senddate retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'phase additional information received',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'send confirmation receipt additional data',b'creating environmental permit decision',b'set decision status',b'phase advice known',b'phase application receptive',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'generating decision environmental permit',b'phase decision ready',b'phase decision taken',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3263,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'forward to the competent authority',b'start WABOprocedure',b'create subcases completeness',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'publish',b'transcript decision environmental permit to stakeholders',b'enter senddate decision',b'set decision phase decision permitting decided',b'generating decision environmental permit',b'creating environmental permit decision',b'phase decision ready',b'set decision status',b'phase decision sent',b'phase decision taken',b'phase advice known',b'phase application receptive',b'enter senddate decision environmental permit',b'record date of decision environmental permit',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3271,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'forward to the competent authority',b'start WABOprocedure',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'create subcases completeness',b'creating environmental permit decision',b'phase advice known',b'set decision status',b'phase application receptive',b'submit decision',b'phase decision ready',b'generating decision environmental permit',b'record date of decision environmental permit',b'set decision phase decision permitting decided',b'register objection and appeal periods',b'creating cover letter decision',b'phase decision taken',b'enter senddate decision environmental permit',b'transcript decision environmental permit to stakeholders',b'start decision phase decision permitting sent',b'phase decision sent',b'enter senddate decision',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3272,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'forward to the competent authority',b'start WABOprocedure',b'receive additional information',b'send confirmation receipt additional data',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision',b'phase decision sent',b'enter senddate decision environmental permit',b'phase decision taken',b'phase asked additional information',b'creating environmental permit decision',b'phase decision ready',b'transcript decision environmental permit to stakeholders',b'set decision status',b'retrieve missing data',b'generating decision environmental permit',b'phase advice known',b'phase additional information received',b'phase application receptive',b'enter senddate retrieve missing data',b'enter receipt of additional data',b'start decision phase decision permitting sent',b'record date of decision environmental permit',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3274,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'forward to the competent authority',b'start WABOprocedure',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'procedure change',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'create subcases completeness',b'publish',b'set decision status',b'phase application receptive',b'set decision phase decision permitting decided',b'phase decision taken',b'creating environmental permit decision',b'phase decision ready',b'generating decision environmental permit',b'phase advice known',b'record date of decision environmental permit',b'creating cover letter decision',b'enter senddate decision environmental permit',b'enter senddate decision',b'transcript decision environmental permit to stakeholders',b'phase decision sent',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3279,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'forward to the competent authority',b'start WABOprocedure',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'procedure change',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'create subcases completeness',b'creating environmental permit decision',b'transcript decision environmental permit to stakeholders',b'set decision phase decision permitting decided',b'enter senddate decision',b'phase decision ready',b'phase decision taken',b'phase advice known',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'generating decision environmental permit',b'phase decision sent',b'set decision status',b'phase application receptive',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3283,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'send confirmation receipt',b'regular procedure without MER',b'forward to the competent authority',b'start WABOprocedure',b'publish',b'create subcases completeness',b'procedure change',b'create procedure confirmation',b'send letter in progress',b'create subcases content',b'procedure change',b'create procedure confirmation',b'article 34  WABO applies',b'grounds for refusal',b'submit draft decision',b'enrich draft decision',b'open draft decision for inspection',b'create cover letter draft decision',b'perspective on draft decision environmental permit received',b'suspension ground applicable',b'coordination of application',b'request complete',b'creating environmental permit decision',b'phase application receptive',b'set decision phase: draft decision permitted sent',b'enter senddate draft decision',b'send design decision to stakeholders',b'phase draft decision ready',b'generate draft decision environmental permit',b'phase draft decision sent',b'create draft environtmental permit',b'phase draft decision made',b'phase advice known',b'start decisionphase draft decision - permitting decided',b'set decision status',b'start WABOprocedure',b'phase concept draft decision ready',b'enter date advice on treatment of environmental permit',b'enter date draft decisionenvironmental permit',b'entering senddate draft decision environmental permit',b'enter senddate draft decision',b'date draft decision for inspection',b'set decision phase: draft decision for inspection',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3287,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'forward to the competent authority',b'start WABOprocedure',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'create subcases completeness',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'publish',b'set decision status',b'creating environmental permit decision',b'phase decision taken',b'phase decision ready',b'generating decision environmental permit',b'set decision phase decision permitting decided',b'phase application receptive',b'phase advice known',b'record date of decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3289,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'phase asked additional information',b'send confirmation receipt',b'start WABOprocedure',b'retrieve missing data',b'enter senddate retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'phase additional information received',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'send confirmation receipt additional data',b'set decision phase decision permitting decided',b'phase decision ready',b'phase decision taken',b'generating decision environmental permit',b'phase advice known',b'creating environmental permit decision',b'phase application receptive',b'set decision status',b'record date of decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3291,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'enter senddate acknowledgement',b'phase application received',b'submit decision',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'phase application receptive',b'start WABOprocedure',b'creating environmental permit decision',b'generating decision environmental permit',b'phase decision ready',b'set decision status',b'send confirmation receipt',b'phase advice known',b'register objection and appeal periods',b'creating cover letter decision',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'phase decision taken',b'transcript decision environmental permit to stakeholders',b'record date of decision environmental permit',b'phase decision sent',b'enter senddate decision',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3292,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'forward to the competent authority',b'phase advice known',b'start WABOprocedure',b'creating environmental permit decision',b'phase application receptive',b'set decision status',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'phase decision taken',b'set decision phase decision permitting decided',b'phase decision ready',b'generating decision environmental permit',b'record date of decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3296,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'forward to the competent authority',b'regular procedure without MER',b'send confirmation receipt',b'start WABOprocedure',b'create subcases completeness',b'procedure change',b'request complete',b'publish',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'create procedure confirmation',b'creating environmental permit decision',b'phase application receptive',b'set decision status',b'phase advice known',b'submit decision',b'phase decision ready',b'set decision phase decision permitting decided',b'generating decision environmental permit',b'record date of decision environmental permit',b'creating cover letter decision',b'register objection and appeal periods',b'enter senddate decision environmental permit',b'transcript decision environmental permit to stakeholders',b'phase decision taken',b'enter senddate decision',b'phase decision sent',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3300,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'forward to the competent authority',b'phase asked additional information',b'retrieve missing data',b'start WABOprocedure',b'enter senddate retrieve missing data',b'send confirmation receipt additional data',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'receive additional information',b'set decision phase decision permitting decided',b'enter senddate decision',b'phase decision taken',b'phase decision ready',b'creating environmental permit decision',b'phase advice known',b'phase application receptive',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'phase decision sent',b'generating decision environmental permit',b'transcript decision environmental permit to stakeholders',b'set decision status',b'phase additional information received',b'enter receipt of additional data',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3301,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'forward to the competent authority',b'regular procedure without MER',b'start WABOprocedure',b'send confirmation receipt',b'enter senddate acknowledgement',b'create procedure confirmation',b'publish',b'create subcases completeness',b'term for submitting updated plan',b'create letter requesting updated plan',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'updated plan after review',b'procedure change',b'request updated plan',b'phase updated plan requested',b'phase advice known',b'phase application receptive',b'enter senddate updated plan',b'register receipt updated plan',b'send confirmation receipt',b'updated plan received',b'phase updated plan received',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'create subcases content',b'set decision status',b'phase advice known',b'creating environmental permit decision',b'register objection and appeal periods',b'creating cover letter decision',b'submit decision',b'phase decision sent',b'transcript decision environmental permit to stakeholders',b'enter senddate decision',b'phase decision taken',b'set decision phase decision permitting decided',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'phase decision ready',b'generating decision environmental permit',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3302,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'forward to the competent authority',b'start WABOprocedure',b'term for supplying missing data',b'create letter requesting missing data',b'request complete',b'reason for suspension found',b'enter suspension term applicant',b'create confirmation suspension',b'suspend term',b'phase procedure term suspended',b'send confirmation suspension',b'enter date request received',b'enter senddate suspension',b'enter date termination request received',b'initiative competent authority',b'create message terminate request',b'terminate on request',b'phase procedure aborted',b'phase archived case',b'phase procedure prematurely terminated',b'stop all running subcases 2b',b'close case',b'message terminate request',b'phase case handled',b'enter senddate request termination',b'register deadline',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
3304,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'forward to the competent authority',b'start WABOprocedure',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'create subcases completeness',b'phase application receptive',b'creating environmental permit decision',b'phase advice known',b'phase decision ready',b'generating decision environmental permit',b'set decision status',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'phase decision sent',b'phase decision taken',b'transcript decision environmental permit to stakeholders',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',3
